mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,params,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
4.709228038787842,1.09982878756913,0.10780830383300781,0.02679726194088654,18,7,"{'max_depth': 18, 'min_samples_leaf': 7}",-0.17667457655595642,-0.18049371739483386,-0.17929412109780807,-0.17880109748959996,-0.17969388026634633,-0.17899147856090894,0.0012842088636946841,3
5.122234869003296,1.0411821229825804,0.11719918251037598,0.02426995784134982,18,12,"{'max_depth': 18, 'min_samples_leaf': 12}",-0.17846785709195445,-0.17978848999286953,-0.17939004779740397,-0.17825160085359376,-0.1801616544932249,-0.17921193004580935,0.0007405404175446136,16
4.295230674743652,0.6280434370518486,0.10840139389038086,0.02082753823926946,18,17,"{'max_depth': 18, 'min_samples_leaf': 17}",-0.1764381275872686,-0.1796371953953826,-0.18217733504369552,-0.17873529718675563,-0.17974734763238134,-0.17934706056909672,0.0018488378555602614,26
4.175022268295288,0.47227905030073286,0.11380205154418946,0.022861942902107888,18,22,"{'max_depth': 18, 'min_samples_leaf': 22}",-0.1758348986744993,-0.18162333109017378,-0.18024290552451022,-0.1788002613927116,-0.1798473198289249,-0.17926974330216397,0.001941060829064143,18
4.183228349685669,1.2722425902346555,0.11799941062927247,0.03737512981777794,18,27,"{'max_depth': 18, 'min_samples_leaf': 27}",-0.17536837628123508,-0.18087889225568024,-0.18161322068956212,-0.17862885963913183,-0.18037812023177813,-0.17937349381947748,0.002231023159461542,28
3.967620325088501,0.6766923972444155,0.09039955139160157,0.019410860889978905,23,2,"{'max_depth': 23, 'min_samples_leaf': 2}",-0.17852142067013183,-0.18061104464351097,-0.18063713011165686,-0.1799898522698995,-0.18075417429720875,-0.18010272439848157,0.0008344612042553246,47
4.418430137634277,0.48782441665831433,0.10440535545349121,0.004803607607470922,23,7,"{'max_depth': 23, 'min_samples_leaf': 7}",-0.17741970813670588,-0.18049371739483386,-0.17929412109780807,-0.17880109748959996,-0.17969388026634633,-0.17914050487705882,0.0010234593474369564,10
4.800227975845337,1.1188052133098856,0.11239848136901856,0.03267512914544623,23,12,"{'max_depth': 23, 'min_samples_leaf': 12}",-0.17846785709195445,-0.17978848999286953,-0.17862705707759635,-0.17842693636853113,-0.1801616544932249,-0.17909439900483531,0.0007317467039327202,4
4.339827585220337,0.5865325210537478,0.11059913635253907,0.016648532106680044,23,17,"{'max_depth': 23, 'min_samples_leaf': 17}",-0.17678895574225362,-0.1791208774356042,-0.18217733504369552,-0.17873529718675563,-0.17974734763238134,-0.17931396260813806,0.0017397999603671855,20
4.027625036239624,0.3563015794473865,0.10220370292663575,0.016866009048113514,23,22,"{'max_depth': 23, 'min_samples_leaf': 22}",-0.17687852413729516,-0.18162333109017378,-0.18024290552451022,-0.1788002613927116,-0.1798473198289249,-0.1794784683947231,0.0015836998685076565,29
3.694682550430298,0.7378862934882039,0.0916060447692871,0.013634427371350913,23,27,"{'max_depth': 23, 'min_samples_leaf': 27}",-0.17714311289953075,-0.18087889225568024,-0.18166797811345872,-0.17862885963913183,-0.18086751931953696,-0.1798372724454677,0.0016862159329605966,39
4.222826290130615,0.590590059752858,0.08800258636474609,0.016960393092699914,28,2,"{'max_depth': 28, 'min_samples_leaf': 2}",-0.17852142067013183,-0.18061104464351097,-0.18063713011165686,-0.1799898522698995,-0.18075417429720875,-0.18010272439848157,0.0008344612042553246,47
4.503026628494263,0.4987371991269639,0.09899883270263672,0.022115767246406345,28,7,"{'max_depth': 28, 'min_samples_leaf': 7}",-0.17741970813670588,-0.18049371739483386,-0.17929412109780807,-0.17880109748959996,-0.17969388026634633,-0.17914050487705882,0.0010234593474369564,10
5.1472272872924805,1.3741253045261925,0.11980085372924805,0.028818585507224787,28,12,"{'max_depth': 28, 'min_samples_leaf': 12}",-0.17846785709195445,-0.17978848999286953,-0.17862705707759635,-0.17842693636853113,-0.1801616544932249,-0.17909439900483531,0.0007317467039327202,4
4.886830854415893,0.7824468136603129,0.1143977165222168,0.024552162503858523,28,17,"{'max_depth': 28, 'min_samples_leaf': 17}",-0.17678895574225362,-0.1791208774356042,-0.18217733504369552,-0.17873529718675563,-0.17974734763238134,-0.17931396260813806,0.0017397999603671855,20
4.4300295352935795,0.49823703587530066,0.11860294342041015,0.013892568804708107,28,22,"{'max_depth': 28, 'min_samples_leaf': 22}",-0.17687852413729516,-0.18162333109017378,-0.18024290552451022,-0.1788002613927116,-0.1798473198289249,-0.1794784683947231,0.0015836998685076565,29
4.0836385726928714,0.9166409003513136,0.11799306869506836,0.022019668098106765,28,27,"{'max_depth': 28, 'min_samples_leaf': 27}",-0.17714311289953075,-0.18087889225568024,-0.18166797811345872,-0.17862885963913183,-0.18086751931953696,-0.1798372724454677,0.0016862159329605966,39
4.665228652954101,0.7283038424820916,0.09300050735473633,0.015659708335963158,33,2,"{'max_depth': 33, 'min_samples_leaf': 2}",-0.17852142067013183,-0.18061104464351097,-0.18063713011165686,-0.1799898522698995,-0.18075417429720875,-0.18010272439848157,0.0008344612042553246,47
5.079635429382324,0.4380024212966166,0.106805419921875,0.01784662102121599,33,7,"{'max_depth': 33, 'min_samples_leaf': 7}",-0.17741970813670588,-0.18049371739483386,-0.17929412109780807,-0.17880109748959996,-0.17969388026634633,-0.17914050487705882,0.0010234593474369564,10
