Row,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,PredictedTsDDTestability
88,L6600,ExampleFileFilter,freemind.main.ExampleFileFilter,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\ExampleFileFilter.java,84,1,274,2,0.0,0,0,0,0.0,,0,0,1,4,4,30,0,2,2,0,12,1.0,0.515464,100,98,13,0,0.515464,100,0,0,0,0,0,94,191,6,2,6,2,12,0,12,2,12,50,0,12,2,94,191,6,2,6,2,12,0,12,2,12,50,0,12,2,0,1,5,3,15,0,2,3,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,0,1,2,0.495132596545878
89,L4079,FixedHTMLWriter,freemind.main.FixedHTMLWriter,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\FixedHTMLWriter.java,35,1,124,2,0.0,0,0,0,0.0,,0,0,1,3,3,16,0,3,3,0,4,1.0,0.462366,43,41,3,0,0.462366,43,0,0,1,1,0,50,90,1,0,1,0,4,0,2,0,4,28,0,2,0,50,90,1,0,1,0,4,0,2,0,4,28,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.38069932230228654
90,L2952,FreeMind,freemind.main.FreeMind,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\FreeMind.java,88,1,1356,2,0.0153925,1,2,1,0.00866824,,11,0,3,8,5,156,27,43,11,64,123,0.0952381,0.178435,187,41,4,38,0.183486,200,1,1,0,0,1,861,1219,77,33,71,31,59,45,41,6,63,487,51,45,7,890,1269,78,34,72,32,67,45,49,7,71,496,51,53,8,0,14,170,32,80,0,7,6,0,6,0,2,0,8,2,6,0,19,123,4,0,1,0,1,0,12,20,0,0,0,0,0,0,8,18,0,25,11,16,2,3,0.15993404334556593
91,L13142,FreeMindApplet,freemind.main.FreeMindApplet,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\FreeMindApplet.java,49,1,440,2,0.0572519,1,2,1,0.0280612,,11,0,5,8,2,75,12,0,0,25,71,0.133333,0.149701,50,19,6,39,0.149701,50,1,1,0,0,1,284,392,18,30,12,28,46,4,44,6,49,135,10,47,6,284,392,18,30,12,28,46,4,44,6,49,135,10,47,6,0,8,108,11,12,0,1,1,0,6,0,1,0,2,2,3,0,12,79,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,17,4,2,1,1,0.3636022516783582
92,L12591,FreeMindCommon,freemind.main.FreeMindCommon,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\FreeMindCommon.java,43,1,408,2,0.0,0,0,0,0.0,,0,0,2,4,4,30,4,21,18,9,21,0.416667,0.352174,81,41,5,7,0.338323,113,0,0,0,0,0,149,255,19,8,19,8,12,15,11,1,12,70,15,11,1,221,366,21,12,21,12,18,15,12,1,18,106,15,12,1,0,2,40,7,36,0,0,5,0,0,0,1,0,4,2,0,0,19,26,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,1,0,9,6,0,0,0,0.3614803384791114
93,L12619,FreeMindSecurityManager,freemind.main.FreeMindSecurityManager,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\FreeMindSecurityManager.java,40,1,256,2,0.0,0,0,0,0.0,,0,0,1,1,1,68,0,3,2,0,34,0.0571429,0.078534,15,15,2,33,0.078534,15,0,0,0,0,0,176,217,1,1,1,1,34,0,34,1,34,102,0,34,1,176,217,1,1,1,1,34,0,34,1,34,102,0,34,1,0,0,73,0,35,0,0,32,0,0,0,0,0,0,1,0,0,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0.8318491134915075
94,L12901,FreeMindSplashModern,freemind.main.FreeMindSplashModern,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\FreeMindSplashModern.java,44,1,221,2,0.0,0,0,0,0.0,,0,0,1,1,1,5,4,3,1,3,7,0.2,0.178571,10,3,1,4,0.119497,19,1,1,0,0,1,46,68,6,2,6,2,4,0,4,0,5,25,0,5,1,140,178,14,3,14,3,11,0,11,2,12,73,0,12,3,0,2,36,0,17,0,0,0,0,0,0,0,0,0,0,0,0,9,34,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0.17267510162575436
95,L13749,FreeMindStarter,freemind.main.FreeMindStarter,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\FreeMindStarter.java,52,1,281,2,0.0,0,0,0,0.0,,0,0,1,3,3,26,5,2,1,5,14,0.333333,0.231132,49,33,1,2,0.220721,49,0,0,0,0,0,163,217,7,2,7,2,9,6,2,1,9,87,6,2,1,173,230,9,3,9,3,11,6,3,1,11,90,6,3,1,0,4,32,16,4,0,1,0,0,0,0,0,0,0,1,0,0,3,26,1,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,6,4,1,0,0,0.3351547179549372
96,L13853,HtmlTools,freemind.main.HtmlTools,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\HtmlTools.java,42,1,738,2,0.0258352,1,8,2,0.0286944,,20,0,11,6,6,112,3,29,39,5,31,0.48,0.262821,164,64,12,13,0.25753,171,0,0,0,0,0,460,653,8,4,8,4,26,2,24,0,26,271,2,24,0,493,697,14,4,14,4,28,8,26,0,28,291,8,26,0,0,3,69,8,28,0,0,6,0,10,0,1,0,9,0,0,0,7,34,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,15,1,15,2,2,0.48076619369109946
97,L3280,LogFileLogHandler,freemind.main.LogFileLogHandler,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\LogFileLogHandler.java,30,1,80,2,0.0,0,0,0,0.0,,0,0,3,2,2,9,1,2,3,1,8,0.625,0.380952,16,16,5,3,0.355556,16,0,0,0,0,0,26,48,1,1,1,1,7,0,7,1,7,7,0,7,1,29,51,1,1,1,1,8,0,8,1,8,7,0,8,1,0,0,13,0,4,0,0,0,0,0,0,1,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5108035477464812
98,L12868,LoggingOutputStream,freemind.main.LoggingOutputStream,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\LoggingOutputStream.java,13,1,58,2,0.0,0,0,0,0.0,,0,0,1,1,1,4,0,1,1,0,2,1.0,0.477273,21,20,3,0,0.477273,21,0,0,0,0,0,23,46,3,0,3,0,2,0,2,0,2,12,0,2,0,23,46,3,0,3,0,2,0,2,0,2,12,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42339343422647086
99,L14087,Resources,freemind.main.Resources,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\Resources.java,42,1,168,2,0.0,0,0,0,0.0,,0,0,1,2,2,27,6,187,324,13,34,0.142857,0.0849057,9,9,3,18,0.0849057,9,1,1,0,0,1,97,127,4,15,4,15,21,0,20,0,21,40,0,20,0,97,127,4,15,4,15,21,0,20,0,21,40,0,20,0,0,1,45,3,10,0,0,0,0,0,0,0,0,0,1,0,0,5,41,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,4,0,0,2,0,0.8239111072272399
100,L12856,StdFormatter,freemind.main.StdFormatter,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\StdFormatter.java,27,1,71,2,0.0,0,0,0,0.0,,0,0,1,1,1,3,0,1,0,0,1,0.5,0.428571,15,15,1,1,0.375,15,0,0,0,0,0,20,40,3,0,3,0,1,0,1,0,1,9,0,1,0,25,45,3,0,3,0,2,0,2,0,2,10,0,2,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,2,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.37183530222316724
101,L1110,Tools,freemind.main.Tools,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\Tools.java,114,1,1895,2,0.0515369,2,16,4,0.0415264,,74,0,48,4,3,270,16,182,287,29,131,0.38,0.213206,268,181,38,62,0.215375,339,0,0,0,0,0,989,1409,5,24,5,24,102,2,99,7,102,564,2,99,7,1235,1782,25,35,25,35,146,2,142,19,154,650,2,148,19,0,24,280,36,92,0,20,15,0,15,0,1,0,2,20,2,0,34,234,18,0,0,0,0,0,6,15,0,0,0,0,0,0,6,13,2,26,13,4,4,0,0.5559578938836897
102,L14873,XHTMLWriter,freemind.main.XHTMLWriter,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\XHTMLWriter.java,36,1,253,2,0.0,0,0,0,0.0,,0,0,2,1,1,9,3,1,1,4,11,1.0,0.580952,61,50,6,0,0.531532,118,1,1,0,0,1,44,115,3,0,2,0,7,0,5,0,11,23,0,7,0,104,218,7,0,6,0,11,0,9,0,15,56,0,11,0,0,12,6,2,9,0,1,1,0,0,0,1,0,1,1,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0.2270388026352758
