Row,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,PredictedTsDDTestability
5528,L178796,AttributeSelectionPanel$4,weka.gui.explorer.AttributeSelectionPanel$4,L178781,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AttributeSelectionPanel.java,290,65,342,10,0.0554493,1,1,1,0.188679,,10,0,1,9,9,22,7,0,0,5,6,0.0,0.0384615,2,0,0,2,0.0384615,2,0,0,0,0,0,50,53,0,0,0,0,1,0,1,0,1,45,0,1,0,50,53,0,0,0,0,1,0,1,0,1,45,0,1,0,0,0,16,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11197518105912657
5529,L178802,AttributeSelectionPanel$5,weka.gui.explorer.AttributeSelectionPanel$5,L178781,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AttributeSelectionPanel.java,344,98,350,6,0.0,0,0,0,0.0,,0,0,1,1,1,1,3,0,0,2,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,5,0,1,0,7,7,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3369803863967355
5530,L178816,AttributeSelectionPanel$6,weka.gui.explorer.AttributeSelectionPanel$6,L178781,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AttributeSelectionPanel.java,384,96,389,6,1.0,1,3,1,1.0,,6,0,1,1,1,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37977521073063425
5531,L178823,AttributeSelectionPanel$7,weka.gui.explorer.AttributeSelectionPanel$7,L178781,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AttributeSelectionPanel.java,390,95,395,6,1.0,1,3,1,1.0,,6,0,1,1,1,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37977521073063425
5532,L178830,AttributeSelectionPanel$8,weka.gui.explorer.AttributeSelectionPanel$8,L178781,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AttributeSelectionPanel.java,399,102,413,6,1.0,1,3,1,0.0666667,,1,0,1,5,5,8,3,0,0,3,4,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,15,15,0,0,0,0,1,0,1,0,1,18,0,1,0,15,15,0,0,0,0,1,0,1,0,1,18,0,1,0,0,0,13,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2457116103375996
5533,L178841,AttributeSelectionPanel$9,weka.gui.explorer.AttributeSelectionPanel$9,L178781,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AttributeSelectionPanel.java,509,102,522,6,1.0,3,6,3,1.0,,14,0,1,3,3,4,1,0,0,0,1,0.0,0.0714286,1,0,0,2,0.0714286,1,0,0,0,0,0,13,14,1,0,1,0,1,0,1,0,1,16,0,1,0,13,14,1,0,1,0,1,0,1,0,1,16,0,1,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2827266338565797
5534,L178858,AttributeSelectionPanel$10,weka.gui.explorer.AttributeSelectionPanel$10,L178819,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AttributeSelectionPanel.java,635,75,878,8,0.0,0,0,0,0.0,,0,0,1,6,6,83,18,0,0,46,47,0.0,0.0486726,11,0,0,2,0.0486726,11,0,0,0,0,0,215,244,0,0,0,0,1,0,1,0,1,358,0,1,0,215,244,0,0,0,0,1,0,1,0,1,358,0,1,0,0,0,18,19,17,0,0,0,0,0,0,0,0,5,0,2,0,3,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,7,0,6,10,9,0,0,0.2295101872968213
5535,L178870,AttributeSelectionPanel$11,weka.gui.explorer.AttributeSelectionPanel$11,L178865,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AttributeSelectionPanel.java,927,104,932,8,1.0,2,2,2,1.0,,6,0,1,1,1,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4138287557567052
5536,L178882,AttributeSelectionPanel$12,weka.gui.explorer.AttributeSelectionPanel$12,L178833,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AttributeSelectionPanel.java,984,101,989,8,1.0,5,17,5,1.0,,6,0,1,1,1,1,3,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3623221920112645
5537,L178887,AttributeSelectionPanel$13,weka.gui.explorer.AttributeSelectionPanel$13,L178833,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AttributeSelectionPanel.java,997,100,1002,8,1.0,3,13,3,1.0,,6,0,1,1,1,1,3,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3623221920112645
