Row,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,PredictedTsDDTestability
1953,L40486,MultiClassClassifier$Code,weka.classifiers.meta.MultiClassClassifier$Code,L40421,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\MultiClassClassifier.java,177,3,241,4,0.0,0,0,0,0.0,,0,0,1,7,7,22,3,4,1,1,5,1.0,0.467742,29,29,5,0,0.467742,29,1,1,3,3,1,33,65,2,2,2,2,4,0,4,0,4,53,0,4,0,33,65,2,2,2,2,4,0,4,0,4,53,0,4,0,0,0,5,1,3,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0.2325989091436013
1954,L40503,MultiClassClassifier$StandardCode,weka.classifiers.meta.MultiClassClassifier$StandardCode,L40421,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\MultiClassClassifier.java,246,3,273,4,0.0,0,0,0,0.0,,0,0,0,3,3,5,3,1,1,1,3,1.0,0.535714,15,14,3,0,0.535714,15,2,2,0,0,1,13,28,3,3,1,1,2,0,2,0,6,17,0,6,0,13,28,3,3,1,1,2,0,2,0,6,17,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39885581393781666
1955,L40515,MultiClassClassifier$RandomCode,weka.classifiers.meta.MultiClassClassifier$RandomCode,L40421,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\MultiClassClassifier.java,278,3,355,4,0.0,0,0,0,0.0,,0,0,1,5,5,41,5,1,1,2,6,1.0,0.306667,23,20,3,0,0.306667,23,2,2,0,0,1,52,78,4,3,2,1,4,0,2,0,8,93,0,6,0,52,78,4,3,2,1,4,0,2,0,8,93,0,6,0,0,0,6,0,4,0,0,0,0,0,0,0,0,4,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4543713811789303
1956,L40534,MultiClassClassifier$ExhaustiveCode,weka.classifiers.meta.MultiClassClassifier$ExhaustiveCode,L40421,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\MultiClassClassifier.java,366,3,400,4,0.0,0,0,0,0.0,,0,0,0,5,5,11,3,1,1,1,3,1.0,0.5,20,19,3,0,0.5,20,2,2,0,0,1,20,35,3,3,1,1,2,0,2,0,6,33,0,6,0,20,35,3,3,1,1,2,0,2,0,6,33,0,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39758860921223454
1957,L40630,MultiClassClassifierUpdateable$__CLR4_4_1x2tx2tkpaqmyyr,weka.classifiers.meta.MultiClassClassifierUpdateable$__CLR4_4_1x2tx2tkpaqmyyr,L40627,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\MultiClassClassifierUpdateable.java,89,51,89,2833,0.0,0,0,0,0.0,,0,0,1,0,0,1,0,2,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,1,0,1,2,2,1,0,1,1,2,0,2,0,2,2,2,0,2,7,2,2,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0.505075402502086
1958,L40678,MultiScheme$__CLR4_4_1x53x53kpaqmyza,weka.classifiers.meta.MultiScheme$__CLR4_4_1x53x53kpaqmyza,L40675,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\MultiScheme.java,71,52,71,2834,0.0,0,0,0,0.0,,0,0,1,0,0,1,0,2,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,1,0,1,2,2,1,0,1,1,2,0,2,0,2,2,2,0,2,7,2,2,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0.505075402502086
1959,L40781,RandomCommittee$__CLR4_4_1x97x97kpaqmyzo,weka.classifiers.meta.RandomCommittee$__CLR4_4_1x97x97kpaqmyzo,L40779,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\RandomCommittee.java,92,40,92,2822,0.0,0,0,0,0.0,,0,0,1,0,0,1,0,2,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,1,0,1,2,2,1,0,1,1,2,0,2,0,2,2,2,0,2,7,2,2,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0.505075402502086
1960,L40838,RandomSubSpace$__CLR4_4_1xb1xb1kpaqmz04,weka.classifiers.meta.RandomSubSpace$__CLR4_4_1xb1xb1kpaqmz04,L40836,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\RandomSubSpace.java,131,69,131,2851,0.0,0,0,0,0.0,,0,0,1,0,0,1,0,2,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,1,0,1,2,2,1,0,1,1,2,0,2,0,2,2,2,0,2,7,2,2,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0.505075402502086
1961,L40932,RegressionByDiscretization$__CLR4_4_1xg0xg0kpaqmz14,weka.classifiers.meta.RegressionByDiscretization$__CLR4_4_1xg0xg0kpaqmz14,L40930,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\RegressionByDiscretization.java,128,95,128,2877,0.0,0,0,0,0.0,,0,0,1,0,0,1,0,2,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,1,0,1,2,2,1,0,1,1,2,0,2,0,2,2,2,0,2,7,2,2,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0.505075402502086
1962,L41102,Stacking$__CLR4_4_1xnuxnukpaqmz1p,weka.classifiers.meta.Stacking$__CLR4_4_1xnuxnukpaqmz1p,L41099,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\Stacking.java,103,43,103,2825,0.0,0,0,0,0.0,,0,0,1,0,0,1,0,2,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,1,0,1,2,2,1,0,1,1,2,0,2,0,2,2,2,0,2,7,2,2,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0.505075402502086
